truth-value,predicate,data
1.0,'(IMP  "density"  "quality")',"'[{:label \"density\" :colname \"density\" :f [FPG 1.1551452875018724 1.161327752349431 0.42364068356533013]}, {:label \"quality\" :colname \"quality\" :f [FPG 3.507680174300672 3.1720186232312066 0.597987396937633]}]'"
0.9999999552317403,'(IMP (AND  "density"  "free_sulfur_dioxide")  "quality")',"'[{:label \"density\" :colname \"density\" :f [FPG 1.0966724909853496 1.100985225451435 0.5729217037957594]}, {:label \"free_sulfur_dioxide\" :colname \"free_sulfur_dioxide\" :f [FPG 30.256984040795 71.389051502599 0.7288408915540726]}, {:label \"quality\" :colname \"quality\" :f [FPG 4.586440281271997 9.733352427121208 0.43057479222106976]}]'"
0.9999791367253338,'(IMP  "free_sulfur_dioxide"  "quality")',"'[{:label \"free_sulfur_dioxide\" :colname \"free_sulfur_dioxide\" :f [FPG 11.647010356495022 11.592652904102845 0.4405741391085374]}, {:label \"quality\" :colname \"quality\" :f [FPG 3.875375548929561 5.806820951532858 0.8719622699391147]}]'"
0.9999535260882165,'(IMP (AND  "free_sulfur_dioxide"  "fixed_acidity"  "density"  "alcohol")  "quality")',"'[{:label \"free_sulfur_dioxide\" :colname \"free_sulfur_dioxide\" :f [FPG 11.00458343409411 51.754890036763825 0.34112731957717424]}, {:label \"fixed_acidity\" :colname \"fixed_acidity\" :f [FPG 4.605340997891381 4.901308791156633 0.4280637711097607]}, {:label \"density\" :colname \"density\" :f [FPG 1.4032444869392442 1.8191898494403853 0.6249243652962393]}, {:label \"alcohol\" :colname \"alcohol\" :f [FPG 10.566617554697615 10.554311545150597 0.4875336181515143]}, {:label \"quality\" :colname \"quality\" :f [FPG 4.038405910111485 10.440959174529695 0.7151505143668212]}]'"
0.9992172254153329,'(IMP (AND  "citric_acid"  "total_sulfur_dioxide"  "alcohol")  "quality")',"'[{:label \"citric_acid\" :colname \"citric_acid\" :f [FPG 0.131728802517562 0.017292721682641732 0.2697483433888065]}, {:label \"total_sulfur_dioxide\" :colname \"total_sulfur_dioxide\" :f [FPG 16.425662490479738 16.635498292667194 0.3490734211741672]}, {:label \"alcohol\" :colname \"alcohol\" :f [FPG 10.78888803711878 12.552232568570613 0.9521041418147712]}, {:label \"quality\" :colname \"quality\" :f [FPG 3.4696104517305884 6.307104698389262 0.3456156013629945]}]'"
0.996967750993269,'(IMP  "pH"  "quality")',"'[{:label \"pH\" :colname \"pH\" :f [FPG 4.377781597950261 4.227419299333239 0.5017729588180996]}, {:label \"quality\" :colname \"quality\" :f [FPG 5.745486614507088 5.404268408694065 0.3881698759460933]}]'"
0.9959908563043302,'(IMP (AND  "density"  "volatile_acidity")  "quality")',"'[{:label \"density\" :colname \"density\" :f [FPG 1.3616607441253188 1.4885114083189501 0.7543008779303974]}, {:label \"volatile_acidity\" :colname \"volatile_acidity\" :f [FPG 0.4457815139801172 0.3394278884559185 0.9607136412117646]}, {:label \"quality\" :colname \"quality\" :f [FPG 3.1461635699621313 10.650817707901215 0.1804308502590376]}]'"
0.99540692768652,'(IMP (AND  "chlorides"  "free_sulfur_dioxide"  "fixed_acidity"  "alcohol")  "quality")',"'[{:label \"chlorides\" :colname \"chlorides\" :f [FPG 0.2441563069367582 0.068051901943687 0.6786260340830494]}, {:label \"free_sulfur_dioxide\" :colname \"free_sulfur_dioxide\" :f [FPG 6.626548152867635 66.26429349473612 0.14000704547693632]}, {:label \"fixed_acidity\" :colname \"fixed_acidity\" :f [FPG 4.68030085502267 8.311505640679295 0.17561084935661486]}, {:label \"alcohol\" :colname \"alcohol\" :f [FPG 13.285111959310834 13.053017912515921 0.33873561299642874]}, {:label \"quality\" :colname \"quality\" :f [FPG 4.323912240510052 8.96283224883922 0.1302927153281831]}]'"
0.9929876976849924,'(IMP  "total_sulfur_dioxide"  "quality")',"'[{:label \"total_sulfur_dioxide\" :colname \"total_sulfur_dioxide\" :f [FPG 66.17819468735686 67.89723024622819 0.2369531775915832]}, {:label \"quality\" :colname \"quality\" :f [FPG 3.360560576595754 8.091188652247379 0.14014028404786072]}]'"
0.9887610718763182,'(IMP (AND  "free_sulfur_dioxide"  "total_sulfur_dioxide"  "alcohol")  "quality")',"'[{:label \"free_sulfur_dioxide\" :colname \"free_sulfur_dioxide\" :f [FPG 20.937867058940437 21.62122476153607 0.13753845457142255]}, {:label \"total_sulfur_dioxide\" :colname \"total_sulfur_dioxide\" :f [FPG 17.91068633945182 249.48344013127763 0.5629334696165316]}, {:label \"alcohol\" :colname \"alcohol\" :f [FPG 10.84882724684698 15.654761648492265 0.9774492516387366]}, {:label \"quality\" :colname \"quality\" :f [FPG 4.259179239550566 4.746527992429574 0.9769538201449934]}]'"
